#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
120423	5372	5870	111385	111808	-	-	PMM1	RAB6A	Sec53	RAB6	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92871	A0A024R1U5	NP_002667	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276634	2800	5870	109062	111808	RP11-175D17.2	-	GOLGA1	RAB6A	golgin-97	RAB6	Far Western	physical	Barr FA (1999)	PUBMED:10209123	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92805	A0A024R869	NP_002068	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281882	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Two-hybrid	physical	Short B (2002)	PUBMED:12401177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281883	5870	1639	111808	108007	-	-	RAB6A	DCTN1	RAB6	DAP-150|DP-150|P135	Two-hybrid	physical	Short B (2002)	PUBMED:12401177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q14203	Q6MZZ3	NP_075408|NP_004073|NP_001177766|NP_001177765|NP_001128513|NP_001128512|NP_001365921|NP_001365920	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281884	5870	636	111808	107105	-	RP11-817I4.1	RAB6A	BICD1	RAB6	BICD	Reconstituted Complex	physical	Short B (2002)	PUBMED:12401177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q96G01	A8MVZ6	NP_001003398|NP_001705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281885	5870	1639	111808	108007	-	-	RAB6A	DCTN1	RAB6	DAP-150|DP-150|P135	Reconstituted Complex	physical	Short B (2002)	PUBMED:12401177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q14203	Q6MZZ3	NP_075408|NP_004073|NP_001177766|NP_001177765|NP_001128513|NP_001128512|NP_001365921|NP_001365920	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286283	23085	5870	116714	111808	-	-	ERC1	RAB6A	Cast2|ELKS|ERC-1|RAB6IP2	RAB6	Reconstituted Complex	physical	Monier S (2002)	PUBMED:11929610	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8IUD2	G8JLD3	NP_829883|NP_001288177|NP_829884	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
286285	5870	23085	111808	116714	-	-	RAB6A	ERC1	RAB6	Cast2|ELKS|ERC-1|RAB6IP2	Two-hybrid	physical	Monier S (2002)	PUBMED:11929610	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	Q8IUD2	G8JLD3	NP_829883|NP_001288177|NP_829884	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297618	7879	5870	113624	111808	-	-	RAB7A	RAB6A	PRO2706|RAB7	RAB6	Two-hybrid	physical	Bucci C (1999)	PUBMED:10329441	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51149	-	NP_004628	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297907	1121	5870	107545	111808	RP1-93L7.1	-	CHM	RAB6A	DXS540|GGTA|HSD-32|REP-1|TCD	RAB6	Reconstituted Complex	physical	Cremers FP (1994)	PUBMED:8294464	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P24386	-	NP_000381|NP_001138886|NP_001307888	P20340	A0A024R5H8|A0A024R5J5|Q53ET8	NP_001230648|NP_002860|NP_001230647|NP_942599	-	-	-	-	-	-	Homo sapiens	Homo sapiens
